,song name,album,artist,featured,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
168,100 Degrees,The Sailor,Rich Brian,['Rich Brian'],2019-07-26,166145,59,0.118,0.756,0.648,0.515,80.979,0.657
169,Who That Be,Who That Be,Rich Brian,['Rich Brian'],2016-08-09,134879,47,0.358,0.959,0.47,0.0806,129.995,0.964
170,Kids,The Sailor,Rich Brian,['Rich Brian'],2019-07-26,270130,46,0.0596,0.635,0.694,0.141,85.809,0.398
171,Attention (feat. Offset),Amen,Rich Brian,"['Rich Brian', 'Offset']",2018-02-02,170200,50,0.0438,0.884,0.547,0.124,158.019,0.425
172,Slow Down Turbo,The Sailor,Rich Brian,['Rich Brian'],2019-07-26,239714,46,0.215,0.389,0.518,0.182,78.114,0.0392
173,Confetti,The Sailor,Rich Brian,['Rich Brian'],2019-07-26,172023,42,0.127,0.77,0.762,0.0809,141.052,0.326
174,Curious,The Sailor,Rich Brian,['Rich Brian'],2019-07-26,225498,49,0.904,0.817,0.433,0.106,111.059,0.9
175,Vacant,The Sailor,Rich Brian,['Rich Brian'],2019-07-26,152520,42,0.74,0.573,0.483,0.266,192.101,0.301
176,No Worries,The Sailor,Rich Brian,['Rich Brian'],2019-07-26,163353,42,0.715,0.563,0.58,0.134,79.194,0.14
177,Introvert (feat. Joji),Amen,Rich Brian,"['Rich Brian', 'Joji']",2018-02-02,222258,60,0.14,0.836,0.686,0.0681,110.029,0.632
178,Cold,Amen,Rich Brian,['Rich Brian'],2018-02-02,228432,52,0.368,0.648,0.734,0.0938,167.044,0.196
179,Gospel,Gospel,Rich Brian,"['Rich Brian', 'Keith Ape', 'XXXTENTACION']",2017-05-12,173294,64,0.000856,0.681,0.659,0.11,156.004,0.225
180,Where Does The Time Go (feat. Joji),The Sailor,Rich Brian,"['Rich Brian', 'Joji']",2019-07-26,251288,54,0.184,0.642,0.553,0.112,139.925,0.129
181,Seventeen,Seventeen,Rich Brian,['Rich Brian'],2016-12-21,163931,40,0.417,0.8,0.392,0.448,144.999,0.285
182,watch out!,watch out!,Rich Brian,['Rich Brian'],2018-04-04,156000,40,0.0166,0.865,0.686,0.327,160.019,0.385
183,Crisis (feat. 21 Savage),Crisis (feat. 21 Savage),Rich Brian,"['Rich Brian', '21 Savage']",2017-11-10,216189,45,0.0725,0.898,0.671,0.119,144.989,0.668
184,Chaos,Chaos,Rich Brian,['Rich Brian'],2017-10-05,132038,42,0.0115,0.809,0.581,0.345,149.949,0.369
185,Trespass,Amen,Rich Brian,['Rich Brian'],2018-02-02,179181,42,0.0431,0.823,0.798,0.404,140.062,0.384
186,Little Prince (feat. NIKI),Amen,Rich Brian,"['Rich Brian', 'NIKI']",2018-02-02,172444,49,0.166,0.909,0.414,0.109,139.963,0.761
187,See Me,Amen,Rich Brian,['Rich Brian'],2018-02-02,212472,46,0.669,0.854,0.578,0.0844,137.025,0.306
188,Amen,Amen,Rich Brian,['Rich Brian'],2018-02-02,116709,44,0.35,0.918,0.684,0.0907,140.077,0.774
189,18,18,Various Artists,"['Kris Wu', 'Rich Brian', 'Trippie Redd']",2018-01-16,254507,46,0.183,0.632,0.629,0.344,179.882,0.207
190,Flight,Amen,Rich Brian,['Rich Brian'],2018-02-02,177463,43,0.111,0.77,0.564,0.103,97.35,0.348
