,song name,album,artist,popularity,featured,release_date,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
100,The Sailor,The Sailor,Rich Brian,46,Rich Brian,2019-07-26,4dV4G96hqT5qCU9v7JBCk2,0.455,0.566,11,-8.763,0,0.142,5.24e-05,0.696,0.393,119.935,220834,4,This Is Rich Brian
101,Yellow (feat. Bekon),The Sailor,Rich Brian,48,Bekon,2019-07-26,3PPAFAhNAvJYs74JnujgGq,0.447,0.53,0,-5.028,1,0.028,4.25e-05,0.351,0.0621,75.917,291870,4,This Is Rich Brian
102,100 Degrees,The Sailor,Rich Brian,59,Rich Brian,2019-07-26,2ZDpSQfBdgkooeXw6oj3Uz,0.756,0.648,0,-5.287,1,0.0731,0.0,0.515,0.657,80.979,166146,4,This Is Rich Brian
103,Who That Be,Who That Be,Rich Brian,47,Rich Brian,2016-08-09,1XSvndyw6uqVW1ekRZsJUp,0.959,0.47,0,-11.53,1,0.166,0.0,0.0806,0.964,129.995,134880,4,This Is Rich Brian
104,Kids,The Sailor,Rich Brian,46,Rich Brian,2019-07-26,5zXK1z8U96zU3tZlFFXYdH,0.635,0.694,1,-3.549,1,0.159,0.0,0.141,0.398,85.809,270131,4,This Is Rich Brian
105,Attention (feat. Offset),Amen,Rich Brian,50,Offset,2018-02-02,16wWFYS9S4hKBk2Ofj3Ss6,0.884,0.547,11,-7.492,1,0.387,0.0,0.124,0.425,158.019,170200,4,This Is Rich Brian
106,Slow Down Turbo,The Sailor,Rich Brian,46,Rich Brian,2019-07-26,5cdmj1cvGZovYsd8nSjtsF,0.389,0.518,7,-7.679,0,0.12,0.0688,0.182,0.0392,78.114,239715,4,This Is Rich Brian
107,Confetti,The Sailor,Rich Brian,42,Rich Brian,2019-07-26,2Wpf66d6S1qZO4Mt39PvEz,0.77,0.762,1,-4.298,1,0.118,0.0,0.0809,0.326,141.052,172023,4,This Is Rich Brian
108,Curious,The Sailor,Rich Brian,49,Rich Brian,2019-07-26,1nbS9XTgYPM9dONkXtDECB,0.817,0.433,6,-7.26,1,0.0501,1.52e-06,0.106,0.9,111.059,225499,4,This Is Rich Brian
109,Vacant,The Sailor,Rich Brian,42,Rich Brian,2019-07-26,1M86gMpkoaXg83hOdGGhCw,0.573,0.483,0,-9.313,0,0.141,6.92e-06,0.266,0.301,192.101,152521,4,This Is Rich Brian
110,No Worries,The Sailor,Rich Brian,42,Rich Brian,2019-07-26,5ygNO0E9Nido0T6oJ8WqDU,0.563,0.58,10,-8.226,1,0.0836,0.0,0.134,0.14,79.194,163353,4,This Is Rich Brian
111,Introvert (feat. Joji),Amen,Rich Brian,60,Joji,2018-02-02,3qbqWUDl9j09PeBaQ6CZgr,0.836,0.686,1,-4.673,1,0.0413,0.00231,0.0681,0.632,110.029,222259,4,This Is Rich Brian
112,Cold,Amen,Rich Brian,52,Rich Brian,2018-02-02,0nKpHGrnuejevp6openGaF,0.648,0.734,0,-6.289,1,0.298,0.0,0.0938,0.196,167.044,228433,4,This Is Rich Brian
113,Gospel,Gospel,Rich Brian,64,XXXTENTACION,2017-05-12,2PqSNVmiEQpFkLoNPoDfwI,0.681,0.659,9,-6.405,1,0.268,8.17e-06,0.11,0.225,156.004,173294,4,This Is Rich Brian
114,Where Does The Time Go (feat. Joji),The Sailor,Rich Brian,54,Joji,2019-07-26,0D7EgPJwNzBTSej80OveHZ,0.642,0.553,2,-6.573,1,0.0265,9.79e-06,0.112,0.129,139.925,251289,4,This Is Rich Brian
115,Seventeen,Seventeen,Rich Brian,40,Rich Brian,2016-12-21,5Mbz3t8k16WjlDkmXBxmlf,0.8,0.392,11,-15.392,1,0.358,1.66e-05,0.448,0.285,144.999,163931,4,This Is Rich Brian
116,watch out!,watch out!,Rich Brian,40,Rich Brian,2018-04-04,4DGmoB9LuGlOY91jFugBYU,0.865,0.686,1,-8.812,1,0.275,0.000112,0.327,0.385,160.019,156000,4,This Is Rich Brian
117,Crisis (feat. 21 Savage),Crisis (feat. 21 Savage),Rich Brian,45,21 Savage,2017-11-10,60KSdUUY3dtPOFpvTf0wNm,0.898,0.671,11,-5.939,0,0.228,4.95e-05,0.119,0.668,144.989,216190,4,This Is Rich Brian
118,Chaos,Chaos,Rich Brian,42,Rich Brian,2017-10-05,2CvcVMkyBhXHD9d0QIpw4X,0.809,0.581,10,-8.294,0,0.195,0.000513,0.345,0.369,149.949,132038,4,This Is Rich Brian
119,Trespass,Amen,Rich Brian,42,Rich Brian,2018-02-02,3oYIm3GyXki3zEX6It90Wi,0.823,0.798,0,-5.444,1,0.172,0.013,0.404,0.384,140.062,179181,4,This Is Rich Brian
